id	url	thumbnail	duration	title	views	likes	dislikes	tags
MHjkLwwTrWg	https://www.youtube.com/watch?v=MHjkLwwTrWg	https://i.ytimg.com/vi/MHjkLwwTrWg/hqdefault.jpg	5	We Ate the Worlds SPICIEST Candies! | Ben Azelart & Andrew Davila	136568	13449	95	Amp World,Amp World News,Brent Rivera,Lexi Rivera,Ben Azelart,Dom Brack,Andrew Davila,Lexi Hensler,Stokes Twins,Jeremy Hutchins,Pierson Wodzynski
BbWV2acaMck	https://www.youtube.com/watch?v=BbWV2acaMck	https://i.ytimg.com/vi/BbWV2acaMck/hqdefault.jpg	2	GIRLS WORLD - (OFFICIAL ROBLOX MUSIC VIDEO)	3104744	102744	2516	girls world,girls world song,roblox song,roblox music video,official roblox music video,girls world roblox,girls world mackenzie turner,roblox official song,roblox songs,roblox music,songs roblox,mackenzie turner girls world,mackenzie turner song,mackenzie turner roblox,mackenzie turner,music video roblox,music video in roblox,song in roblox,brookhaven song,song brookhaven,brookhaven music,brookhaven music video,music in roblox,music in brrookhaven
3SsK-cxlj_w	https://www.youtube.com/watch?v=3SsK-cxlj_w	https://i.ytimg.com/vi/3SsK-cxlj_w/hqdefault.jpg	35	25 Greatest Natural Wonders of the World - Travel Video	5002134	35219	1319	Serengeti,Amazon,halong bay,Grand Canyon,victoria falls,natural wonders,Antarctica,natural attractions,Northern Lights,Pamukkale,Sahara Desert,Wadi Rum
xtoOK86mW8Y	https://www.youtube.com/watch?v=xtoOK86mW8Y	https://i.ytimg.com/vi/xtoOK86mW8Y/hqdefault_live.jpg	0	LIVE News | National Updates | LIVE Updates 24x7 | India News | Republic TV LIVE	12917093	NONE	NONE	UK Vaccine Racism,Raj Kundra gets Bail,Raj Kundra porn racket case,Raj Kundra case,Raj Kundra Bail,Raj Kundra porn case,Charanjit Singh Channi,New Punjab CM,Punjab CM,Charanjit Channi,Punjab Chief Minister,Congress Infighting,Congress Crisis,Punjab Congress Crisis,Punjab new CM,Punjab New Chief Minister,Sonia Gandhi,Rahul Gandhi,Navjot Singh Sidhu,Charanjit Singh New CM
FmGQxEqU-2o	https://www.youtube.com/watch?v=FmGQxEqU-2o	https://i.ytimg.com/vi/FmGQxEqU-2o/hqdefault_live.jpg	0	LIVE | MJ ITT – 2021 UCI Road World Championships – Flanders (BEL)	0	25	0	UCI,Union Cycliste Internationale,Cycliste,cycling,cyclisme,ciclismo,2018
usTq813Qjvc	https://www.youtube.com/watch?v=usTq813Qjvc	https://i.ytimg.com/vi/usTq813Qjvc/hqdefault.jpg	6	LILI's FILM [LiLi's World - '쁘의 세계'] - EP.3 M/V REACTION	2429877	511913	1834	YG Entertainment,YG,와이지,K-pop,BLACKPINK,블랙핑크,블핑,리사,Lisa,BLINK,블링크,리리필름,LILI FILM,쁘의 세계,LiLi's World,MV REACTION,뮤비 리액션,LISA MV REACTION,LALISA MV REACTION
XQdvBiJBmgk	https://www.youtube.com/watch?v=XQdvBiJBmgk	https://i.ytimg.com/vi/XQdvBiJBmgk/hqdefault.jpg	10	Ryan's Friends Turn to CardBoard Pretend Play!	389433	2701	709	Ryan's World,Ryan ToysReview,Ryan,kids pretend play,cardboard,Combo Panda,kids video,video for kids,kids play,kids play video,Kaji Family,Robo Combo,Gus the Gummy Gator
Gr4p4g3lqNM	https://www.youtube.com/watch?v=Gr4p4g3lqNM	https://i.ytimg.com/vi/Gr4p4g3lqNM/hqdefault.jpg	10	"Is This The End? ""World of Warcraft Is Finally Dying"""	16277	1131	97	WoW,Shadowlands,WoW is Dying,Losing Subscribers,Stoopz,Quitting WoW,Patch 9.1.5,Update,The end of WoW,WoW Killer,Blizzard,Is WoW Dying?,Mage Tower,Class Changes,Torghast,Alts
nDY2peASuDM	https://www.youtube.com/watch?v=nDY2peASuDM	https://i.ytimg.com/vi/nDY2peASuDM/hqdefault.jpg	11	10 Most Dangerous Bugs In The World	4909151	374667	13942	top,50m,education,50m videos,entertainment,Top,Best,most,dangerous,bugs,world,around the world,dangerous bugs,most dangerous,most dangerous bugs,most dangerous bugs around the world,insects,dangerous insects,most dangerous insects,venomous,poisonous,hornet,bee,ants,ant,worst,worst bugs,worst insects,top 10,top ten,top list,top most,list,facts
pvuN_WvF1to	https://www.youtube.com/watch?v=pvuN_WvF1to	https://i.ytimg.com/vi/pvuN_WvF1to/hqdefault.jpg	7	Lil Dicky - Earth (Official Music Video)	326683252	10573486	341537	Lil Dicky,Music,Hip Hop Music (Musical Genre),Rap,Rapper,Funny,Rapping (Profession),justin bieber,ariana grande,halsey,zac brown,hailee steinfeld,lil jon,snoop dogg,wiz khalifa,ed sheeran,charlie puth,shawn mendes,sia,katy perry,miley cyrus,rita ora,benny blanco,cashmere cat,backstreet boys,kris wu,john legend,psy,tory lanez,joel embiid,adam levine,maroon 5,meghan trainor,brendon urie,panic at the disco
